commit_hash,project_name,classification,commit_message
03486955e5d640a3766d2ab16c8a813ca323c6f5,camel,None,"CAMEL-1669: Throttler now uses an expression to set per period, like the other EIP patterns. Thanks to Ben ODay for the patch.git-svn-id: https://svn.apache.org/repos/asf/camel/trunk@1093970 13f79535-47bb-0310-9956-ffa450edef68n"
0365b824a22934e78b99bd7e813b976e2b59b0e4,gerrit,None,"Split PatchListLoader, IntraLineLoader to top-level classesThis simple refactoring just shrinks the size of the mainnPatchListCacheImpl class, reducing the amount of effort itntakes to read the cache implementation, or either loader.nnBecause we no longer have code to format a git diff style file headern(we reuse code inside of JGit now), we can drop the BSD copyrightnheader and notices from 3rd parties that contributed that code we hadnborrowed.nnChange-Id: I1d0d3da11985770516e6707e9b2e97c00fb825b1nSigned-off-by: Shawn O. Pearce <sop@google.com>n"
036f6cbb1e49e92c44d3114807e5b3b44b3e14cc,camel,None,CAMEL-7354: Rest DSL. Integrate with camel-servlet.
0373ce54e936ca3eb984e8824977a59cf4390143,camel,None,CAMEL-3012: CamelContext supports suspend/resume to temporary stop a Camel application.git-svn-id: https://svn.apache.org/repos/asf/camel/trunk@981029 13f79535-47bb-0310-9956-ffa450edef68n
0376020ee24d9f0ad345e0839be4035f93aae944,camel,Feature Addition,"further improvements for CAMEL-133, a client can now create an exchange on an endpoint specifying the ExchangePattern it wants to use for an Exchange via Endpoint.createExchange(pattern)git-svn-id: https://svn.apache.org/repos/asf/activemq/camel/trunk@572625 13f79535-47bb-0310-9956-ffa450edef68n"
0380eac20a5d2f2fef36091bc8a51135eb916c27,apache-ant,Perfective,Moved metamata tasks to using Execute2 functionality and generally cleaning up the tasksgit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270590 13f79535-47bb-0310-9956-ffa450edef68n
03840738f80ed27e2f323ace72f891631e14366e,camel,None,CAMEL-5693: Ensure exceptions is propagated back to the smpp library so it can deal with it.git-svn-id: https://svn.apache.org/repos/asf/camel/trunk@1395645 13f79535-47bb-0310-9956-ffa450edef68n
0389ea10a4687f078052de61ff19b5c43171ad44,apache-ant,Corrective,"- New tasks StarTeamCheckin and StarTeamList - Modify StarTeamCheckin, Add ability to check files out either locked or unlocked.  (Previously task left lock status alone.) - Modify docs for all of the above. - Fix JavaDoc tags (SB)PR: 5650nPatch by: stevec@ignitesports.com (Steve Cohen)nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270762 13f79535-47bb-0310-9956-ffa450edef68n"
03bdfcd3faa97bc1219d221b40f62e5af2fae0b8,camel,None,MR-187: Added more unit tests.git-svn-id: https://svn.apache.org/repos/asf/camel/trunk@824600 13f79535-47bb-0310-9956-ffa450edef68n
03cd924f46f0f8e6a62471e58cda294ef98b363f,camel,Feature Addition,CAMEL-1700 Adding the verb and URI info on camel-cxfrs endpointgit-svn-id: https://svn.apache.org/repos/asf/camel/trunk@785579 13f79535-47bb-0310-9956-ffa450edef68n
03d58fd2074ddeffe24b901d28fd4fe085a15193,camel,None,"CAMEL-2102, CAMEL-2107: Introduced markRollbackOnly on Rollback to avoid setting an rollback exception. This can be used to rollback and return a custom message to client. Also fixed so that works when using transactions. Thanks to Dhiraj Bokde for reporting and providing a patch.git-svn-id: https://svn.apache.org/repos/asf/camel/trunk@829746 13f79535-47bb-0310-9956-ffa450edef68n"
041560918a154dc683c8219e3588bc27f4022516,tomcat,Corrective,Fix some more of the Java 8 Javadoc errors in the org.apace.catalina packagegit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1631390 13f79535-47bb-0310-9956-ffa450edef68n
0421c24dfcf992f3296ed746469771e3800200e3,camel,None,CAMEL-9201: Improved Camel CDI component
04303d53df88ad2e4174ff11b2b6aa91ad8e3e37,gerrit,None,"SideBySide2: Fix Ctrl-C to copy text in CM4The vim mode changed the way the keymap is implemented. In CM4 vimnmode now uses the call method and does not defined specific keysnwithin the map. Copying the map object and deleting entries was anno-op and that meant vim mode still handled keys like Ctrl-C thatnGerrit wanted to propagate up into the browser.nnBuild our own KeyMap object that sets up non-bindings for thenspecific keys that should go up the DOM tree, and then fallbacknto the KeyMap object provided by vim mode.nnChange-Id: I3aa14a170cedf6100a8de0df88a584810980530bn"
0431342fc6b55cae74fc4b3121cae06650f31658,apache-jmeter,Corrective,Bug 19128 - Added multiple file POST support to HTTP Samplersgit-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/trunk@654389 13f79535-47bb-0310-9956-ffa450edef68n
04744d1c386087e21f50ef6b55c58949d8cb74cc,apache-ant,Preventative,"* Migrated all tests into packages other than the one they are testing. The reason for this is that all the tests are BlackBox, using public APIs and there is no reason to have the testcases in the same package as the actual code. Thus all test code is in a sub-package from the code it actually tests.ie Test code for package foo is located in package foo.testnn* Migrated all the test data into the same hierarchy so that there is only one place where you have to look for test data.nnThis required that resource retrieval be hackled a little because no longer in same package as tested code/nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@271870 13f79535-47bb-0310-9956-ffa450edef68n"
0485172aaa70e3b1f0e98c00215672657e6f462e,gerrit,Corrective,Add functionalities to CommentBox and fix various styles- Added expandText() to DraftBox.n- Fixed CommentBox styles to make it look better. Added box-shadow.n- Adjusted CodeMirrors line height to avoid cutting off the bottomn  of text.n- Added refocusing on CM after clicking on CommentBoxes and SkipBars.n- Prevented feedback loop in synced scrolling.n- Fixed a bug in skip calculation.nnChange-Id: I7cbe644f3a890cb6e62a5d83942a93411ea5550fn
049bcedddf755b90c0c49f6c5cd9da5d7857c3d2,apache-jmeter,None,Proper hashCode() does not work ...git-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/trunk@324339 13f79535-47bb-0310-9956-ffa450edef68n
04bd5ac86720659bd34f95d20b605cb6c8e7ce67,gerrit,None,"SideBySide2: Refactor comment management to new top level classYank all of the code related to comment management out of SideBySide2nand into its own new top level class. This moves about 500 linesnof code from a 1800 line class to a new 400 line class, which maynmake it easier to follow SideBySide2.nnChange-Id: Ie24b3e3af38a9dea38a756fc5b635f1cc54f7f8an"
04bd7df391bbacf2022aea6df5ef9cdd07ac1cc3,tomcat,Feature Addition,"Remove the integration - ObjectManager and wrapping of DI frameworks. Lite is just a library/connector - doesnt need it, instead will integrate it with existing tomcat JNI model. I may add it back for an example of using tomcat-lite standalone, but for now its better to avoid confusion.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@947932 13f79535-47bb-0310-9956-ffa450edef68n"
04d73d1565c80ff40c14bc85d51f172a272eb65c,apache-ant,None,No more -lib needed.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@276691 13f79535-47bb-0310-9956-ffa450edef68n
04dc05d3465a7d42340f632a47386599f9fb7e4e,tomcat,None,Refactor methods that call read/write listeners out of AsyncContext as CoyoteAdapter has all the information it needs to call them itself.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1477511 13f79535-47bb-0310-9956-ffa450edef68n
04e57c16a01ed5aba76cdd4d882d0c28d78bdb6d,camel,Perfective,Clean up the code of DefaultCxfBindinggit-svn-id: https://svn.apache.org/repos/asf/camel/trunk@1030314 13f79535-47bb-0310-9956-ffa450edef68n
04fa2c64630d2ec92336501f6f7382d38a7a3caf,apache-jmeter,None,Cookie Manager not longer clears cookies defined in the GUIgit-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/trunk@582672 13f79535-47bb-0310-9956-ffa450edef68n
050a1d9624b53204a526bef29d319517be0ea448,apache-jmeter,Preventative,"Using ClientJMeterEngine.tidyRMI allows server to exit without needing to use System.exit, so disable that use of System.exit by default. However if non-GUI test threads wont stop, we have to use System.exit - but allow this to be disabled.git-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/trunk@1171852 13f79535-47bb-0310-9956-ffa450edef68n"
05436a09bcfc22fe555db8d1bcb131d7f99ce746,gerrit,None,"Support git-upload-pack over our private sshd portThis permits access controlled repositories, by requiring user authnat the SSH level and then looking at the project data in the datanstore.  We dont have proper ACLs yet, but they can be inserted.nnSigned-off-by: Shawn O. Pearce <sop@google.com>n"
055f4eb6502573047dcba7d6cbd3e79a09e8557d,apache-ant,None,Make Locator.fileToURL and replace its use by FileUtils.getFileUtils().getFileURL()git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@1376019 13f79535-47bb-0310-9956-ffa450edef68n
0570a6ca30fa3bf20a3606d91b4e021ecc9c6aa6,camel,None,Refactor to improve readability of comparisons
0595da505914be63fbe3299cbe9b328a2e641ad2,camel,None,"improved the DSL for expression evaluation for CAMEL-181 - so that you can do things like filter().<smartComplete> and get a list of all the expression methods such as xquery, xpath etc.git-svn-id: https://svn.apache.org/repos/asf/activemq/camel/trunk@584725 13f79535-47bb-0310-9956-ffa450edef68n"
0598c0474b026b71d1952dd5bc5a9f7df0290ceb,tomcat,Feature Addition,Refactor TldLocationsCache to use scan results from the initializer. This means we only scan the application and classpath once to locate TLDs and eliminates duplicate code that needed to be kept in sync between Catalinas TldConfig and Jaspers TldLocationsCache. Deprecate TldLocation to be replaced with TldResourcePath once TagLibraryInfo and dependency management can be decoupled.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1513028 13f79535-47bb-0310-9956-ffa450edef68n
059ad359164e376960bc91ee4bce1e47abb3ef45,apache-ant,None,"This is a major change. :-)It introduces the concept of a TaskContainer to allow a task to containnother tasks. This allows Task compositionnIt introduces a <parallel> task for multithreading support. There isnalso a <sequential> task.nIt reworks System.out management to handle all task generated outputnand route it through the Ant event system. This handles multithreadednoutput.nnThis is a major rework to the patch originally submitted by Thomas. Inhave taken a different route for the output management, in particular.nnBased on patch by Thomas Christen <chr@active.ch>nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@269371 13f79535-47bb-0310-9956-ffa450edef68n"
05b1f8790994ce1687fd5a82df5ea4ccd4711609,hadoop,Non Functional,HADOOP-6756. Documentation for common configuration keys. Contributed by Erik Steffl.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@960079 13f79535-47bb-0310-9956-ffa450edef68n
06406d705677845e1e303550e3bb0e2d4ccdbf70,hadoop,None,HDFS-1245. Plugable block id generation. Contributed by Konstantin Shvachko.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1432539 13f79535-47bb-0310-9956-ffa450edef68n
065747efabd1cbea9b14e93e905e304b9973d355,hadoop,Corrective,YARN-628. Fix the way YarnRemoteException is being unrolled to extract out the underlying exception. Contributed by Siddharth Seth.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1483207 13f79535-47bb-0310-9956-ffa450edef68n
0663dbaac0a19719ddf9cd4290ba893bfca69da2,hadoop,None,HDFS-3171. The DatanodeID name field is overloaded. Contributed by Eli Collinsgit-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1308014 13f79535-47bb-0310-9956-ffa450edef68n
06667bd6bae03cbad808050c557f5f4d849ccf84,camel,Corrective,Fixed a typo in the DeadLetterChannelgit-svn-id: https://svn.apache.org/repos/asf/camel/trunk@773196 13f79535-47bb-0310-9956-ffa450edef68n
06e84a1bca19bd01568a3095e33944d4d6387fd3,hadoop,None,HDFS-2223. Untangle depencencies between NN components. Contributed by Todd Lipcon.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1166466 13f79535-47bb-0310-9956-ffa450edef68n
070c795ca74da7b72a3e7efd31813b06080385c9,camel,None,CAMEL-6327: More work on new camel-netty-http component.
072731e42a6b734b0fbfa1f013c18b7d55ff1994,camel,None,CAMEL-7799 Remove the useless timer from NettyComponent
073a062146e15a3c21c66e3886ea28d10dc49be4,camel,None,CAMEL-1053 upgraded spring-integration to 1.0.0.RC1git-svn-id: https://svn.apache.org/repos/asf/activemq/camel/trunk@711523 13f79535-47bb-0310-9956-ffa450edef68n
075122690c5c17ac443a8eb3fb7387001e4907c0,hadoop,Corrective,HDFS-1314. Make dfs.blocksize accept size-indicating prefixes (Sho Shimauchi via harsh)git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1227165 13f79535-47bb-0310-9956-ffa450edef68n
0752e5cfcccbe4af0f3f9460c575d7e6e53b2d65,apache-jmeter,Non Functional,Document TODOgit-svn-id: https://svn.apache.org/repos/asf/jmeter/trunk@1624276 13f79535-47bb-0310-9956-ffa450edef68n
0775e5c926277c912370c026a5cd563f67ab9c65,tomcat,Feature Addition,"Move code that parses EL expressions within JSP template text from Parser to JspReader class. This is done to get access to JspReader.nextChar(mark) to avoid calling reader.mark() in a loop, as that method allocates new Mark object on each call.Also removed duplicate start = reader.mark(); call, as parseELExpression() does update start.nngit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1601924 13f79535-47bb-0310-9956-ffa450edef68n"
07b5bf92b34cfb74084088ce5ad7826c7c839e8e,tomcat,None,No need to retain reference to ReadListener in InputBuffergit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1477322 13f79535-47bb-0310-9956-ffa450edef68n
08084b4e5c26211fb4fb4335d175f1e9c33be1bf,apache-ant,Corrective,Next round of typo fixes by Larry Shatzergit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@275242 13f79535-47bb-0310-9956-ffa450edef68n
086e1d5961d21dbbc9dfd70b8205fdc43faeba40,gerrit,Perfective,"Support cleaning up a Commons DBCP connection poolLike with c3p0 there is a provider specific means of cleaning up thendatabase connection pool, if the pool is the Commons DBCP variety.nTo avoid compile time dependencies we use reflection to tear downnthe pool.nnChange-Id: If3203d985cb7eb0d336ef6a5d360d63bbbafd2a7nSigned-off-by: Shawn O. Pearce <sop@google.com>n"
0870734787d7005d85697549eab5b6479d97d453,hadoop,Corrective,MAPREDUCE-3566. Fixed MR AM to construct CLC only once across all tasks. Contributed by Vinod K V.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1227422 13f79535-47bb-0310-9956-ffa450edef68n
08d2cf52409d19f281bbbb59859c19d98188d227,tomcat,Feature Addition,"Removing the mini-servlet code from lite. The goal is to implement connector and http client, this creates confusion.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@947931 13f79535-47bb-0310-9956-ffa450edef68n"
08eef4e8a6bbe820b1622250bdc08de9b0d0cb15,apache-ant,Non Functional,Changes to <propertyfile>1) documentation.nn2) default to String type if type is omitted.nn3) use Properties.store (or .save) to write the property file.nnSubmitted by:tJesse Tilly <JTilly@hoteltools.com>nnIve modified Jesses original patch to make it compile on JDK 1.1.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@268153 13f79535-47bb-0310-9956-ffa450edef68n
0928502029ef141759008997335ea2cd836a7154,hadoop,Feature Addition,"YARN-530. Defined Service model strictly, implemented AbstractService for robust subclassing and migrated yarn-common services. Contributed by Steve Loughran. YARN-117. Migrated rest of YARN to the new service model. Contributed by Steve Louhran. MAPREDUCE-5298. Moved MapReduce services to YARN-530 stricter lifecycle. Contributed by Steve Loughran.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1492718 13f79535-47bb-0310-9956-ffa450edef68n"
093967db0e29ab675eef29fbe21d840f3467c5a7,apache-ant,Feature Addition,Removed AntClassLoader and replaced it with URLClassLoader. Now new ClassLoaders do not include the ant runtime by defaultgit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270450 13f79535-47bb-0310-9956-ffa450edef68n
09479a61d71fe0087c8742d252b7833001692e76,gerrit,None,"Allow evaluating submit rules for draft changesWhen actually submitting changes, we should continue short-circuitingnand refusing to say draft changes are submittable. But for purelyninformational pre-submit operations, such as rendering the approvalntable, it makes sense to treat draft changes the same as any othernopen changes.nnChange-Id: I012c274c3e6a4b95adead3008a9c0ff56942d56bn"
094fd3573943eeac3f2db01f89c89312e2ed7f78,tomcat,Corrective,Get AJP working after async refactoring. Some issues remain with AJP/APR connector which still has a handful of TCK failures.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1002911 13f79535-47bb-0310-9956-ffa450edef68n
097a001b3fd355558c971cd82a633177ace77b39,hadoop,None,HADOOP-8334. HttpServer sometimes returns incorrect port (Daryn Sharp via bobby)git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1332336 13f79535-47bb-0310-9956-ffa450edef68n
099b89c0df76de0f9b0d4bad3b4a496c5d1e0a22,camel,None,CAMEL-2558: ProducerCache is now exposed in JMX.git-svn-id: https://svn.apache.org/repos/asf/camel/trunk@931471 13f79535-47bb-0310-9956-ffa450edef68n
09aa3dea0dc4b779540a68473d7271e669c99c88,apache-jmeter,Corrective,JMX file format 2.2 - compress output further Replace inline strings with constants Fix bug in SampleResultConverter (used rs instead of rc)git-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/branches/rel-2-1@332820 13f79535-47bb-0310-9956-ffa450edef68n
09b154d82c2b51612e68819ff78dc4112b8d6ea0,camel,None,CAMEL-8884: cleanup the camel-example-cdi and have it work with camel:run
09b640ee06ce6e9fd93b493f5faf2ef99543c64b,tomcat,Feature Addition,"First batch, based on sandbox. The main change is adding the ObjectManager to abstract configuration/JMX/integration, and replace some filters with explicit interfaces, as was suggested. This has dependencies on coyote and tomcat-util, and some optional servlets/filters/plugins to provide various features from the spec.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@761964 13f79535-47bb-0310-9956-ffa450edef68n"
09bc0dcbccc3225cfadc2ca0024b4015ed8f684e,log4j,Feature Addition,Corrected path to match the new src/java source dir.PR:nObtained from:nSubmitted by:nReviewed by:nnngit-svn-id: https://svn.apache.org/repos/asf/logging/log4j/trunk@309054 13f79535-47bb-0310-9956-ffa450edef68n
0a06a557302b27e48d296fc1b6f66f9c4316cd54,apache-jmeter,None,No need to call prepare during shutdowngit-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/trunk@737456 13f79535-47bb-0310-9956-ffa450edef68n
0a2c2973963f27c7b21306c91298f2f53740dc09,tomcat,None,Implement a TODO. Trigger an exception if an HTTP upgrade is attempted over AJP.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1716656 13f79535-47bb-0310-9956-ffa450edef68n
0a434ded7e81238d8d3370a82c6b5e8265af4d61,camel,None,CAMEL-4218: Simple languge now supports using chained [] index for list/map.git-svn-id: https://svn.apache.org/repos/asf/camel/trunk@1145881 13f79535-47bb-0310-9956-ffa450edef68n
0a545cb738de474fb6dd20bdd8e28e939ab62dae,camel,None,CAMEL-2919: Debugger APIgit-svn-id: https://svn.apache.org/repos/asf/camel/trunk@961615 13f79535-47bb-0310-9956-ffa450edef68n
0a60bfdf1c977e66e4ac297faeb85d2558218f31,camel,Feature Addition,CAMEL-7401 Added continuationTimeout option to camel-cxf component
0af1e9e5da7ac862bd49740ead73395f903780a2,apache-ant,None,Zap the zip files which are no w in a separate librarygit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@271954 13f79535-47bb-0310-9956-ffa450edef68n
0b0d76ad29286b3dbd82ffddd94b597b76165fe9,camel,None,Moved HeaderFilterStrategyAware to spi package where it belongs.git-svn-id: https://svn.apache.org/repos/asf/camel/trunk@772880 13f79535-47bb-0310-9956-ffa450edef68n
0b139666157335c0415ae24789bae1082c673966,tomcat,None,Remove JASPIC authenticator and associated modules implemented during GSoC. See http://tomcat.markmail.org/thread/ar2pdpb6vibu2dwd for reasoning.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1722510 13f79535-47bb-0310-9956-ffa450edef68n
0b3c654d83c5e73fe946de194f3aea0a9fe06f5a,hadoop,Feature Addition,MAPREDUCE-2791. Added missing info on job -status output. Contributed by Devaraj K.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1177487 13f79535-47bb-0310-9956-ffa450edef68n
0b567c303a001efec95e95c1d222a74014283b42,camel,None,Upgrading BouncyCastle
0b5d0e6f7a3c78dc5dbd0fdcae2401d65163a774,tomcat,None,Remove the verifiergit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@887307 13f79535-47bb-0310-9956-ffa450edef68n
0b685e8e2feaf1e020cca3b1bd255c6284abc43e,camel,Feature Addition,CAMEL-1077 Added remote address support to camel-netty4
0b73d356c5b6fd66917ae6ee69397e0fffe7b8c5,gerrit,None,"Tweak PatchSetInserter to look more like ChangeInserterDont pass in the repo and RevWalk, since those should come from thenRepoContext. Change callers to use the same Repository/RevWalk/nObjectInserter instances and call setRepository on the enclosingnBatchUpdate.nnDont lazily compute patch set ID; have callers compute it themselvesnand pass it in at construction time, since we no longer have anRepository instance in the PatchSetInserter.nnChange-Id: I845b887ae7ffc2c1a14bad13c62c41ff1ff6fc34n"
